cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_1902	2334	23	22	1	0.00985432733504713	0.003920968219582141	2.5132382572836334	19.0	18.805484147386462	11	300	1	41.69443263997967
cluster_2250	1213	18	17	1	0.01483924154987634	0.003920968219582141	3.784586030502885	16	17.280296784831	12	193	1	40.65109390783848
cluster_1853	1275	18	16	2	0.01411764705882353	0.003920968219582141	3.600551258823529	15	17.47529411764706	11	313	1	39.63252135170082
cluster_1601	2027	19	16	3	0.009373458312777503	0.003920968219582141	2.390597879871731	18	18.69906265416872	11	341	1	33.46925416530712
cluster_432	1530	17	17	0	0.011111111111111112	0.003920968219582141	2.8337671944444445	14.0	14.754248366013073	11	377	1	32.95896644388998
cluster_1752	2088	19	15	4	0.009099616858237548	0.003920968219582141	2.3207576161398467	20.0	19.65277777777778	11	337	1	32.89873604853443
cluster_2588	726	13	12	1	0.01790633608815427	0.003920968219582141	4.566814900137741	20.0	19.592286501377412	11	188	1	32.19907747607864
cluster_1940	1149	15	10	5	0.013054830287206266	0.003920968219582141	3.3294914817232373	19	19.597911227154047	11	282	1	31.71296375807143
cluster_87	972	14	13	1	0.01440329218106996	0.003920968219582141	3.6734019187242795	13.0	14.452674897119342	11	537	1	31.142623626984403
cluster_71	787	13	12	1	0.016518424396442185	0.003920968219582141	4.212843224269377	14	14.26556543837357	11	537	1	30.96691613183372
cluster_1680	1722	17	13	4	0.009872241579558653	0.003920968219582141	2.517807089140534	18.0	18.22473867595819	11	340	1	30.8494982885209
cluster_611	480	11	11	0	0.022916666666666665	0.003920968219582141	5.844644838541666	342.0	334.65625	11	346	1	30.524732518382248
cluster_1947	1558	16	16	0	0.010269576379974325	0.003920968219582141	2.6191429781771496	18.0	18.824775353016687	11	280	1	29.690369665152417
cluster_1305	1122	14	12	2	0.012477718360071301	0.003920968219582141	3.1823054055258466	15.0	15.893939393939394	13	342	1	28.900177824732147
cluster_2199	711	12	10	2	0.016877637130801686	0.003920968219582141	4.304456497890294	16	18.10267229254571	11	208	1	28.88645925767503
cluster_27265	7	4	4	0	0.5714285714285714	0.003920968219582141	145.73659857142854	19	18.142857142857142	15	23	1	28.78833975213609
cluster_2872	220	8	8	0	0.03636363636363636	0.003920968219582141	9.274147181818181	183.0	183.01363636363635	178	185	1	26.88757392874958
cluster_33	1047	13	8	5	0.012416427889207259	0.003920968219582141	3.1666739422158545	13	14.422158548233046	11	541	1	26.76565070643185
cluster_1001	490	10	8	2	0.02040816326530612	0.003920968219582141	5.204878520408163	15.0	16.322448979591837	11	343	1	26.33402965436968
cluster_604	873	12	12	0	0.013745704467353952	0.003920968219582141	3.5056913745704463	13	13.88659793814433	11	347	1	26.060981963611002
cluster_512	357	9	8	1	0.025210084033613446	0.003920968219582141	6.429555819327731	11	13.739495798319327	11	355	1	26.039483648196875
cluster_1944	1109	13	12	1	0.011722272317403066	0.003920968219582141	2.9896371663660952	19	19.1190261496844	11	281	1	25.951348123086834
cluster_2258	508	10	9	1	0.01968503937007874	0.003920968219582141	5.020453690944882	20.0	20.51771653543307	11	192	1	25.898722100768786
cluster_84	922	12	10	2	0.013015184381778741	0.003920968219582141	3.319380227765726	14.0	14.876355748373102	11	537	1	25.32989184179153
cluster_1911	539	10	10	0	0.01855287569573284	0.003920968219582141	4.731707745825602	19	19.93320964749536	12	292	1	25.189650498657173
cluster_179	541	10	8	2	0.018484288354898338	0.003920968219582141	4.714215295748613	14	14.465804066543438	11	536	1	25.14555394037216
cluster_2340	425	9	9	0	0.021176470588235293	0.003920968219582141	5.400826888235294	16	16.80235294117647	14	189	1	24.104324620151388
cluster_2248	814	11	11	0	0.013513513513513514	0.003920968219582141	3.446473614864865	19.0	18.826781326781326	11	194	1	23.679277872788408
cluster_51	302	8	6	2	0.026490066225165563	0.003920968219582141	6.756001258278145	14.0	19.735099337748345	11	537	1	23.642504299977954
cluster_1699	53	5	5	0	0.09433962264150944	0.003920968219582141	24.0602875	20	29.67924528301887	12	340	1	23.236655303610586
cluster_1934	1149	12	10	2	0.010443864229765013	0.003920968219582141	2.66359318537859	19	19.51348999129678	11	283	1	22.479111742020855
cluster_1653	379	8	8	0	0.021108179419525065	0.003920968219582141	5.383409973614775	11	12.121372031662268	11	341	1	21.394618461255536
cluster_1942	556	9	9	0	0.01618705035971223	0.003920968219582141	4.128329905575539	20.0	20.02338129496403	11	281	1	21.22640166191094
cluster_2073	563	9	8	1	0.015985790408525755	0.003920968219582141	4.077000759325044	20	21.30195381882771	13	252	1	21.095788282555727
cluster_2128	263	7	7	0	0.026615969581749048	0.003920968219582141	6.7881115304182496	16	18.015209125475284	11	233	1	20.728914811238003
cluster_6678	29	4	4	0	0.13793103448275862	0.003920968219582141	35.17779965517241	15	37.58620689655172	15	178	1	20.708131041446446
cluster_120	264	7	7	0	0.026515151515151516	0.003920968219582141	6.762398986742424	14.0	16.848484848484848	11	536	1	20.69551812614435
cluster_2061	588	9	8	1	0.015306122448979591	0.003920968219582141	3.903658890306122	15.0	17.41496598639456	11	255	1	20.644727628261137
cluster_767	878	10	9	1	0.011389521640091117	0.003920968219582141	2.904772750569476	18.0	18.484054669703873	11	344	1	19.652385890416696
cluster_596	1194	11	9	2	0.009212730318257957	0.003920968219582141	2.349605965242881	18.0	18.149916247906198	11	347	1	19.183905317042672
cluster_93	326	7	7	0	0.02147239263803681	0.003920968219582141	5.47629856595092	14.0	15.533742331288343	11	536	1	18.866186481295347
cluster_1966	1567	12	11	1	0.007657945118059987	0.003920968219582141	1.953075028717294	19	18.550733886407148	11	274	1	18.746616137533515
cluster_212	331	7	7	0	0.021148036253776436	0.003920968219582141	5.39357502265861	12	13.722054380664652	11	535	1	18.736359965232907
cluster_581	502	8	8	0	0.01593625498007968	0.003920968219582141	4.064367290836653	16.0	16.840637450199203	11	349	1	18.723056314675336
cluster_344	740	9	8	1	0.012162162162162163	0.003920968219582141	3.1018262533783783	14.0	16.40135135135135	11	484	1	18.32639744628105
cluster_2208	538	8	7	1	0.01486988847583643	0.003920968219582141	3.7924021933085497	20.0	19.845724907063197	12	205	1	18.085991909326065
cluster_7016	51	4	4	0	0.0784313725490196	0.003920968219582141	20.003062549019607	15	27.823529411764707	15	176	1	17.570111215332137
cluster_59	254	6	5	1	0.023622047244094488	0.003920968219582141	6.024544429133858	13.0	17.748031496062993	11	537	1	16.874427981631342
cluster_238	417	7	6	1	0.016786570743405275	0.003920968219582141	4.281231013189448	12	14.045563549160672	11	535	1	16.806119747118647
cluster_7967	423	7	6	1	0.016548463356973995	0.003920968219582141	4.220504332151299	20	19.224586288416077	14	132	1	16.689324305886334
cluster_55	426	7	7	0	0.01643192488262911	0.003920968219582141	4.190782470657277	14.0	17.6056338028169	11	537	1	16.63166421134229
cluster_1541	17	3	3	0	0.17647058823529413	0.003920968219582141	45.006890735294114	16	35.1764705882353	11	341	1	16.571334160678873
cluster_2146	278	6	4	2	0.02158273381294964	0.003920968219582141	5.504439874100719	20.0	19.72661870503597	11	227	1	16.20854895289566
cluster_29521	2	2	2	0	1.0	0.003920968219582141	255.03904749999998	20.0	20	19	21	1	16.000440072959226
cluster_29937	2	2	1	1	1.0	0.003920968219582141	255.03904749999998	20.0	20	20	20	1	16.000440072959226
cluster_147	287	6	6	0	0.020905923344947737	0.003920968219582141	5.331826777003484	12	15.0801393728223	11	536	1	15.975730724850148
cluster_2049	955	9	8	1	0.009424083769633508	0.003920968219582141	2.403509348167539	15	16.75392670157068	11	259	1	15.903207650526056
cluster_346	700	8	8	0	0.011428571428571429	0.003920968219582141	2.914731971428571	15.0	15.672857142857143	11	482	1	15.751308275245774
